State,District,Latitude,Longitude,District code,State name,Population,Male_Literate,Female_Literate,sex_ratio,literacy_rate
Gujarat,Surendranagar,22.82672007299272,71.48358740875906,475,GUJARAT,1756268,643221,450405,930.0,62.0
Gujarat,The Dangs,20.801633877551023,73.6883518367347,489,GUJARAT,228291,77314,63654,1006.0,62.0
Gujarat,Vadodara,22.26133739279589,73.49433010291594,486,GUJARAT,4165626,1614087,1278993,934.0,69.0
Gujarat,Valsad,20.44238231644259,72.9148584798345,491,GUJARAT,1705678,655528,515129,922.0,69.0
Haryana,Ambala,30.3503672316384,76.94970310734456,70,HARYANA,1128350,461288,356737,885.0,72.0
Haryana,Bhiwani,28.728868064516128,76.02110225806452,81,HARYANA,1634445,643158,426713,886.0,65.0
Haryana,Faridabad,28.14873109756098,77.32718536585368,88,HARYANA,1809733,734940,537799,873.0,70.0
Haryana,Fatehabad,29.57298318584072,75.54608716814157,78,HARYANA,942011,327471,230107,902.0,59.0
Haryana,Gurgaon,28.043894789579163,77.01935130260523,86,HARYANA,1514432,638666,472450,854.0,73.0
Haryana,Hisar,29.23628731117825,75.84324682779452,80,HARYANA,1743931,670200,444111,872.0,64.0
Haryana,Jhajjar,28.59651868131869,76.61137142857145,83,HARYANA,958405,399480,276611,862.0,71.0
Haryana,Jind,29.45149821958457,76.29598575667653,77,HARYANA,1334152,502049,330709,871.0,62.0
Haryana,Kaithal,29.96068539094649,76.37698930041155,73,HARYANA,1074304,385782,260747,881.0,60.0
Haryana,Karnal,29.703200647249204,76.87488025889972,74,HARYANA,1505324,564516,413497,887.0,65.0
Haryana,Kurukshetra,30.05652659846548,76.78774680306903,72,HARYANA,964655,370828,276065,888.0,67.0
Haryana,Mahendragarh,28.1352161458333,76.14018072916659,84,HARYANA,922088,380440,249815,895.0,68.0
Haryana,Panchkula,30.700897142857134,76.97173238095236,69,HARYANA,561293,229862,175456,873.0,72.0
Haryana,Panipat,29.34352134146342,76.92895914634147,75,HARYANA,1205437,464136,322463,864.0,65.0
Haryana,Rewari,28.19164714828897,76.55956007604564,85,HARYANA,900332,375453,261494,898.0,71.0
Haryana,Rohtak,28.892517647058817,76.53123235294117,82,HARYANA,1061204,436025,311557,867.0,70.0
Haryana,Sirsa,29.63583446327684,74.90970480225988,79,HARYANA,1295189,456968,325929,897.0,60.0
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,30,HIMACHAL PRADESH,381956,155599,132021,981.0,75.0
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,406,CHHATTISGARH,2663629,932474,664086,971.0,60.0
Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,23,HIMACHAL PRADESH,519080,186064,137778,986.0,62.0
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,28,HIMACHAL PRADESH,454768,180555,177536,1095.0,79.0
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,168,UTTAR PRADESH,1104285,408125,245174,861.0,59.0
Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,24,HIMACHAL PRADESH,1510075,606443,546197,1012.0,76.0
Himachal Pradesh,Kinnaur,31.60667184065933,78.51613736263741,34,HIMACHAL PRADESH,84121,36697,24002,819.0,72.0
Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,26,HIMACHAL PRADESH,437903,174550,133122,942.0,70.0
Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067,27,HIMACHAL PRADESH,999777,393669,330078,1007.0,72.0
Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668,33,HIMACHAL PRADESH,814010,342846,269796,915.0,75.0
Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493,32,HIMACHAL PRADESH,529855,205617,157028,918.0,68.0
Himachal Pradesh,Solan,31.03864311926604,76.94442140672783,31,HIMACHAL PRADESH,580320,244372,184206,880.0,74.0
Himachal Pradesh,Una,31.58330388349513,76.18353932038836,29,HIMACHAL PRADESH,521173,213281,186434,976.0,77.0
